Date,Time,P1(Overall RMS (g)),P2(Shaft 1X (g)),P3(Shaft 2X (g)),P4(KTM Band (g)),P5(BPFI (g)),P6(BPFO (g)),P7(BSF (g)),P8(FTF (g)),P9(Crest Factor (none)),P10(Demodulation (g)),P12(RPM (RPM)),P13(Train Speed (km/h)),RPM,Overall,1X,2X,Crest factor
2022.2.18,14:47:18,,0.00754,0.00754,0.001148,0.00754,0.00754,0.00754,0.00754,1.712194,0.078452,0,0,66.2,0.235,0.001,0.0014,5.042
2022.2.18,14:47:19,0.133108,0.011565,0.011565,0.001078,0.011565,0.011565,0.011565,0.011565,1.740452,0.090459,0,0,35.7,0.224,0.0011,0.0009,5.966
2022.2.18,14:47:20,0.132494,0.029812,0.029812,0.001098,0.029812,0.029812,0.029812,0.029812,1.523984,0.098369,1.43,0.231812,35.7,0.409,0.0013,0.0016,6.556
2022.2.18,14:47:21,0.126387,0.011086,0.011086,0.001058,0.011282,0.011086,0.011086,0.011086,1.724872,0.085626,2.64,0.42796,35.7,0.644,0.0022,0.0009,6.336
2022.2.18,14:47:22,0.112129,0.018794,0.018794,0.001046,0.018803,0.018803,0.018794,0.018794,1.603705,0.07823,4.19,0.679225,35.7,0.742,0.0052,0.0037,6.149
2022.2.18,14:47:23,0.125291,0.0215,0.0215,0.001064,0.021508,0.021508,0.0215,0.0215,1.639362,0.089667,5.59,0.906174,35.7,0.839,0.009,0.0026,5.216
2022.2.18,14:47:24,0.134859,0.00899,0.00899,0.00105,0.009028,0.009028,0.009028,0.00899,1.702583,0.091937,6.96,1.128259,373,0.834,0.0028,0.01,7.287
2022.2.18,14:47:25,0.102303,0.013205,0.013205,0.001083,0.013215,0.013212,0.013212,0.013205,1.753408,0.070744,8.42,1.364934,373,0.936,0.0075,0.0048,5.713
2022.2.18,14:47:26,0.083743,0.01795,0.01795,0.001103,0.017952,0.017952,0.017951,0.01795,1.677117,0.061355,10.41,1.687525,458,0.909,0.0069,0.0064,5.646
2022.2.18,14:47:27,0.089524,0.012378,0.012378,0.001102,0.012394,0.012393,0.012392,0.012378,2.31089,0.062117,12.19,1.976074,458,1.128,0.0079,0.0055,5.591
2022.2.18,14:47:28,0.088922,0.009195,0.009195,0.001105,0.00929,0.009289,0.009288,0.009195,1.932308,0.061633,14.07,2.280834,458,0.924,0.0085,0.0048,5.898
2022.2.18,14:47:29,0.074395,0.005705,0.005745,0.001115,0.005746,0.005746,0.005745,0.005705,1.959379,0.051817,16.040001,2.600183,458,1.132,0.0083,0.0045,5.421
2022.2.18,14:47:30,0.088526,0.010603,0.010605,0.001102,0.000316,0.010607,0.010605,0.010603,1.905718,0.062181,18.09,2.932501,458,1.185,0.0094,0.0076,5.004
2022.2.18,14:47:31,0.083263,0.010091,0.010212,0.001451,0.0016,0.010216,0.010215,0.010091,2.131038,0.058259,20.08,3.255092,458,1.064,0.0091,0.008,5.889
2022.2.18,14:47:32,0.086767,0.00192,0.00197,0.001229,0.000307,0.000537,0.001988,,2.032523,0.058616,22.030001,3.571199,458,1.148,0.0066,0.0061,5.135
2022.2.18,14:47:33,0.083673,0.008206,0.008221,0.001098,0.000591,0.000748,0.008235,0.008206,2.599811,0.058298,24,3.890548,458,1.266,0.012,0.006,6.615
2022.2.18,14:47:34,0.069072,0.010653,0.010654,0.001172,0.000487,0.000483,0.010661,0.010653,2.434714,0.047497,25.77,4.177476,458,1.195,0.016,0.0088,5.026
2022.2.18,14:47:35,0.089116,0.010482,0.010511,0.001146,0.00023,0.000469,0.010519,0.010482,2.673073,0.063283,27.610001,4.475752,458,1.245,0.024,0.011,5.301
2022.2.18,14:47:36,0.088858,0.010058,0.01018,0.001131,0.000278,0.000342,0.010183,0.010058,2.145267,0.061873,29.34,4.756196,458,1.208,0.011,0.0069,6.185
2022.2.18,14:47:37,0.085194,0.013223,0.013223,0.00126,0.000189,0.000496,0.013227,0.013217,2.235346,0.061267,30.879999,5.005839,458,1.278,0.013,0.0066,4.961
