Date,Time,Overall_RMS,Shaft_1X,Shaft_2X,KTM_Band,BPFI,BPFO,BSF,FTF,Crest_Factor,Demodulation,RPM,Train_Speed
2022-02-23,13:39:29,0.158249,0.011523,0.011523,0.002818,0.011523,0.011523,0.011523,0.011523,8.438985,0.108348,0,0
2022-02-23,13:39:30,0.150149,0.013753,0.013753,0.001112,0.013753,0.013753,0.013753,0.013753,1.630061,0.10311,0,0
2022-02-23,13:39:32,0.1441,0.013438,0.013438,0.001073,0.013512,0.013512,0.013438,0.013438,1.63617,0.098707,2.93,0.474971
2022-02-23,13:39:33,0.141732,0.015428,0.015428,0.001125,0.015429,0.015429,0.015428,0.015428,1.614357,0.098095,3.81,0.617625
2022-02-23,13:39:34,0.14681,0.008385,0.008385,0.001107,0.008486,0.008486,0.008385,0.008385,1.8823,0.100454,4.29,0.695436
2022-02-23,13:39:35,0.167647,0.020129,0.020129,0.001095,0.020155,0.020155,0.020129,0.020129,1.814987,0.118656,4.72,0.765141
2022-02-23,13:39:36,0.137969,0.011986,0.011986,0.001072,0.012014,0.012014,0.011986,0.011986,1.656364,0.094525,5.35,0.867268
2022-02-23,13:39:37,0.132182,0.003158,0.003158,0.001116,0.003233,0.003233,0.003233,0.003158,1.670696,0.08925,6.59,1.06828
2022-02-23,13:39:38,0.136101,0.0061,0.0061,0.001073,0.006125,0.006118,0.006118,0.0061,1.60666,0.092283,7.56,1.225523
2022-02-23,13:39:39,0.117044,0.010406,0.010406,0.001036,0.0105,0.010498,0.010498,0.010406,1.774195,0.079697,8.37,1.356829
2022-02-23,13:39:40,0.119002,0.005321,0.005321,0.001117,0.00545,0.00545,0.00544,0.005321,1.744992,0.079302,9.87,1.599988
2022-02-23,13:39:41,0.124838,0.030501,0.030501,0.001152,0.030581,0.030581,0.03058,0.030501,1.670698,0.093105,11.22,1.818831
2022-02-23,13:39:42,0.121027,0.006831,0.006831,0.001096,0.006974,0.006972,0.006966,0.006831,1.812621,0.081626,12.59,2.040917
2022-02-23,13:39:43,0.118738,0.015113,0.015113,0.001079,0.015132,0.015132,0.015131,0.015113,1.70634,0.082831,14.06,2.279213
2022-02-23,13:39:44,0.124156,0.010757,0.010757,0.001442,0.010778,0.010778,0.010777,0.010757,1.819471,0.085802,14.92,2.418624
2022-02-23,13:39:45,0.123287,0.003536,0.003617,0.001075,0.003623,0.003623,0.003617,0.003536,1.957916,0.082934,16.219999,2.629362
2022-02-23,13:39:46,0.124648,0.002163,0.00228,0.001112,0.000762,0.002291,0.00228,0.002163,1.798239,0.084474,17.860001,2.895216
2022-02-23,13:39:47,0.12522,0.016413,0.016456,0.001097,0.001402,0.016462,0.016456,0.016413,2.123818,0.088466,19.18,3.109197
2022-02-23,13:39:48,0.11746,0.002664,0.002713,0.001127,0.000597,0.000597,0.002729,0.002664,1.867867,0.078893,20.68,3.352356
2022-02-23,13:39:49,0.119122,0.005095,0.005166,0.003125,0.000329,0.000909,0.005173,0.005095,2.934804,0.080066,21.99,3.564715
2022-02-23,13:39:50,0.123227,0.010296,0.0103,0.001157,0.000322,0.000398,0.010302,0.010296,1.816634,0.083475,23.18,3.757622
2022-02-23,13:39:51,0.117918,0.007712,0.007732,0.001155,0.000352,0.000651,0.007737,0.007712,2.097553,0.080543,23.18,3.757622
2022-02-23,13:39:52,0.118074,0.010286,0.010343,0.001192,0.000527,0.0012,0.010349,0.010286,2.478524,0.080764,25.83,4.187203
2022-02-23,13:39:53,0.132793,0.012545,0.012776,0.008146,0.000513,0.00058,0.01278,0.012545,3.702635,0.0914,27.129999,4.397941
2022-02-23,13:39:54,0.118469,0.007408,0.007679,0.004924,0.000489,0.000597,0.007688,0.007408,5.516247,0.080194,28.370001,4.598952
2022-02-23,13:39:55,0.118661,0.009838,0.010056,0.002006,0.001082,0.00103,0.010058,0.009838,2.888812,0.080279,29.690001,4.812933
2022-02-23,13:39:56,0.123729,0.020043,0.020043,0.003138,0.000373,0.00055,0.020048,0.019981,2.706836,0.087508,30.719999,4.979902
2022-02-23,13:39:57,0.123621,0.006457,0.006457,0.001167,0.001049,0.000844,0.00648,0.006397,2.925304,0.085573,31.889999,5.169566
2022-02-23,13:39:58,0.126639,0.017223,0.017223,0.001255,0.000404,0.00055,0.01723,0.017218,2.883815,0.089805,32.799999,5.317083
2022-02-23,13:39:59,0.121798,0.013286,0.013286,0.001288,0.000496,0.000637,0.013296,0.013272,2.303037,0.085391,34.009998,5.513231
2022-02-23,13:40:00,0.128697,0.003392,0.003392,0.005528,0.001513,0.001095,0.003404,0.003171,5.934297,0.091238,35.07,5.685064
2022-02-23,13:40:01,0.120537,0.001524,0.001524,0.001179,0.000338,0.000284,0.001533,0.001519,3.260736,0.081004,36.169998,5.86338
2022-02-23,13:40:02,0.1233,0.007858,0.007858,0.00205,0.000198,0.000358,0.007864,0.007727,2.74986,0.084683,37.130001,6.019003
2022-02-23,13:40:03,0.129761,0.015281,0.015281,0.001287,0.001273,0.000999,0.015284,0.015265,3.457325,0.092525,38.16,6.185972
2022-02-23,13:40:04,0.124318,0.010885,0.010885,0.001453,0.000951,0.000828,0.010886,0.010864,3.962663,0.086399,39.080002,6.33511
2022-02-23,13:40:05,0.129228,0.003161,0.003161,0.001508,0.000349,0.000318,0.003171,0.002934,2.40659,0.088392,39.990002,6.482626
2022-02-23,13:40:06,0.118822,0.007908,0.007908,0.001318,0.000347,0.000266,0.007917,0.007884,4.213215,0.082039,40.860001,6.623659
2022-02-23,13:40:07,0.146108,0.010375,0.010375,0.001242,0.002062,0.001238,0.010385,0.010366,3.738741,0.107101,41.73,6.764691
2022-02-23,13:40:08,0.128807,0.009178,0.009178,0.001382,0.001076,0.000819,0.009181,0.009176,3.412559,0.089924,42.66,6.91545
2022-02-23,13:40:09,0.129227,0.007227,0.007227,0.00151,0.000235,0.000334,0.007235,0.007225,3.567913,0.08852,43.57,7.062966
2022-02-23,13:40:10,0.129153,0.003665,0.003665,0.001287,0.000281,0.000267,0.00114,0.003506,3.242738,0.090279,44.509998,7.215346
2022-02-23,13:40:11,0.144947,0.010686,0.010693,0.001639,0.001171,0.000802,0.00087,0.01066,3.648792,0.104903,45.310001,7.345032
2022-02-23,13:40:12,0.143941,0.009805,0.009805,0.001506,0.002587,0.001517,0.001616,0.009678,4.375676,0.107062,46.150002,7.481201
2022-02-23,13:40:13,0.144398,0.016631,0.016632,0.002211,0.001538,0.00091,0.00164,0.016554,4.486115,0.104325,47.02,7.622233
2022-02-23,13:40:14,0.118601,0.007561,0.007571,0.003375,0.000382,0.000463,0.000763,0.007536,4.568759,0.080114,48.040001,7.787581
2022-02-23,13:40:15,0.138644,0.006405,0.006416,0.00207,0.000623,0.000347,0.000609,0.006391,5.226535,0.096112,48.880001,7.92375
2022-02-23,13:40:16,0.140813,0.005813,0.005834,0.001382,0.000236,0.000251,0.001253,0.005701,4.957144,0.102695,49.959999,8.098825
2022-02-23,13:40:17,0.164453,0.011247,0.011258,0.001433,0.001009,0.000657,0.001266,0.011188,3.969518,0.121634,50.900002,8.251205
2022-02-23,13:40:18,0.163701,0.003428,0.003455,0.002125,0.002006,0.001364,0.000644,0.003414,4.809439,0.122555,51.740002,8.387375
2022-02-23,13:40:19,0.173287,0.003606,0.003639,0.00147,0.002192,0.001397,0.001236,0.003455,4.594219,0.13291,52.709999,8.544617
